Time,Channel B
(ms),(V)

-3.38993706,4.94460900
-3.38865706,4.94460900
-3.38737706,4.94460900
-3.38609706,4.94460900
-3.38481706,4.94460900
-3.38353706,4.94460900
-3.38225706,4.94460900
-3.38097706,4.94460900
-3.37969706,4.94460900
-3.37841706,5.12100600
-3.37713706,4.94460900
-3.37585706,4.94460900
-3.37457706,4.94460900
-3.37329706,4.94460900
-3.37201706,4.94460900
-3.37073706,4.94460900
-3.36945706,4.94460900
-3.36817706,4.94460900
-3.36689706,4.94460900
-3.36561706,4.94460900
-3.36433706,4.94460900
-3.36305706,4.94460900
-3.36177706,4.94460900
-3.36049706,4.94460900
-3.35921706,4.94460900
-3.35793706,4.94460900
-3.35665706,4.94460900
-3.35537706,4.94460900
-3.35409706,4.94460900
-3.35281706,4.94460900
-3.35153706,4.94460900
-3.35025706,4.94460900
-3.34897706,4.94460900
-3.34769706,4.94460900
-3.34641706,4.94460900
-3.34513706,4.94460900
-3.34385706,4.94460900
-3.34257706,4.94460900
-3.34129706,4.94460900
-3.34001706,4.94460900
-3.33873706,4.94460900
-3.33745706,4.94460900
-3.33617706,4.94460900
-3.33489706,4.94460900
-3.33361706,4.94460900
-3.33233706,4.94460900
-3.33105706,4.94460900
-3.32977706,4.94460900
-3.32849706,4.94460900
-3.32721706,4.94460900
-3.32593706,4.94460900
-3.32465706,4.94460900
-3.32337706,4.94460900
-3.32209706,4.94460900
-3.32081706,4.94460900
-3.31953706,4.94460900
-3.31825706,4.94460900
-3.31697706,4.94460900
-3.31569706,4.94460900
-3.31441706,4.94460900
-3.31313706,5.12100600
-3.31185706,5.12100600
-3.31057706,5.12100600
-3.30929706,4.94460900
-3.30801706,4.94460900
-3.30673706,4.94460900
-3.30545706,4.94460900
-3.30417706,4.94460900
-3.30289706,4.94460900
-3.30161706,4.94460900
-3.30033706,4.94460900
-3.29905706,4.94460900
-3.29777706,4.94460900
-3.29649706,4.94460900
-3.29521706,4.94460900
-3.29393706,4.94460900
-3.29265706,4.94460900
-3.29137706,4.94460900
-3.29009706,4.94460900
-3.28881706,4.94460900
-3.28753706,4.94460900
-3.28625706,4.94460900
-3.28497706,4.94460900
-3.28369706,4.94460900
-3.28241706,4.94460900
